Nombre,Edad,Nivel educativo,Carrera,Institución,Departamento,Promedio
María Torres,43,Maestría,Ingeniería en Sistemas,Universidad Nacional de Colombia,Santander,3.67
Juan Pérez,45,Doctorado,Economía,Universidad de los Andes,Santander,3.43
Luis Fernández,34,Doctorado,Física,Universidad de Antioquia,Norte de Santander,4.78
Ana Ramírez,22,Doctorado,Ingeniería en Sistemas,Universidad de los Andes,Santander,3.97
Pedro Torres,20,Posgrado,Derecho,Universidad de Antioquia,Bolívar,3.8
Sofia García,33,Posgrado,Física,Universidad de Antioquia,Atlántico,4.81
Carlos Rodríguez,25,Licenciatura,Ingeniería en Sistemas,Universidad Industrial de Santander,Valle del Cauca,4.78
Carlos García,39,Doctorado,Ingeniería en Sistemas,Universidad de Antioquia,Risaralda,3.26
Carmen Rodríguez,27,Doctorado,Psicología,Universidad Industrial de Santander,Atlántico,3.06
Pedro Ramírez,30,Licenciatura,Medicina,Universidad del Valle,Santander,3.23
Luis Fernández,18,Posgrado,Química,Universidad de los Andes,Santander,3.6
Carlos Torres,26,Maestría,Química,Universidad de Antioquia,Bolívar,3.78
Laura Rodríguez,30,Doctorado,Biología,Universidad Industrial de Santander,Risaralda,3.21
Ana Torres,18,Licenciatura,Biología,Universidad del Valle,Cundinamarca,4.38
Luis Ramírez,20,Licenciatura,Administración,Universidad de los Andes,Bolívar,4.62
Sofia Pérez,22,Maestría,Administración,Universidad de Antioquia,Antioquia,3.74
Juan García,40,Maestría,Derecho,Universidad del Valle,Risaralda,4.61
María Torres,32,Doctorado,Química,Universidad Industrial de Santander,Antioquia,4.0
María Fernández,45,Licenciatura,Psicología,Universidad de Antioquia,Risaralda,4.88
Carlos González,20,Posgrado,Física,Universidad de Antioquia,Santander,3.94
Sofia González,20,Maestría,Física,Universidad del Valle,Boyacá,3.91
Luis Ramírez,28,Maestría,Biología,Universidad de los Andes,Valle del Cauca,3.33
